ALSA lib confmisc.c:767:(parse_card) cannot find card '0'
ALSA lib conf.c:4732:(_snd_config_evaluate) function snd_func_card_driver returned error: No such file or directory
ALSA lib confmisc.c:392:(snd_func_concat) error evaluating strings
ALSA lib conf.c:4732:(_snd_config_evaluate) function snd_func_concat returned error: No such file or directory
ALSA lib confmisc.c:1246:(snd_func_refer) error evaluating name
ALSA lib conf.c:4732:(_snd_config_evaluate) function snd_func_refer returned error: No such file or directory
ALSA lib conf.c:5220:(snd_config_expand) Evaluate error: No such file or directory
ALSA lib pcm.c:2642:(snd_pcm_open_noupdate) Unknown PCM default
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
libpng warning: iCCP: known incorrect sRGB profile
pygame 2.5.2 (SDL 2.28.2, Python 3.8.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
With GPU support!
episode: 0, epsilon: 1.0000, max time step: 15, total reward: -3.031187
episode: 54, epsilon: 0.9951, max time step: 50, total reward: 0.833241
episode: 55, epsilon: 0.9950, max time step: 50, total reward: 0.833241
episode: 56, epsilon: 0.9950, max time step: 50, total reward: 0.833241
episode: 57, epsilon: 0.9949, max time step: 54, total reward: 1.194448
episode: 58, epsilon: 0.9948, max time step: 50, total reward: 0.833241
episode: 59, epsilon: 0.9947, max time step: 50, total reward: 0.833241
episode: 60, epsilon: 0.9946, max time step: 50, total reward: 0.833241
episode: 61, epsilon: 0.9945, max time step: 50, total reward: 0.833241
episode: 62, epsilon: 0.9944, max time step: 50, total reward: 0.833241
episode: 63, epsilon: 0.9943, max time step: 50, total reward: 0.833241
episode: 64, epsilon: 0.9942, max time step: 36, total reward: -0.551715
episode: 65, epsilon: 0.9941, max time step: 50, total reward: 0.833241
episode: 66, epsilon: 0.9941, max time step: 52, total reward: 1.015660
episode: 67, epsilon: 0.9940, max time step: 50, total reward: 0.833241
episode: 68, epsilon: 0.9939, max time step: 50, total reward: 0.833241
episode: 69, epsilon: 0.9938, max time step: 50, total reward: 0.833241
episode: 70, epsilon: 0.9937, max time step: 50, total reward: 0.833241
episode: 71, epsilon: 0.9936, max time step: 50, total reward: 0.833241
episode: 72, epsilon: 0.9935, max time step: 50, total reward: 0.833241
episode: 73, epsilon: 0.9934, max time step: 50, total reward: 0.833241
episode: 74, epsilon: 0.9933, max time step: 61, total reward: 1.792650
episode: 75, epsilon: 0.9932, max time step: 50, total reward: 0.833241
episode: 76, epsilon: 0.9932, max time step: 65, total reward: 2.608494
episode: 77, epsilon: 0.9931, max time step: 50, total reward: 0.833241
episode: 78, epsilon: 0.9930, max time step: 50, total reward: 0.833241
episode: 79, epsilon: 0.9929, max time step: 50, total reward: 0.833241
episode: 80, epsilon: 0.9928, max time step: 50, total reward: 0.833241
episode: 81, epsilon: 0.9927, max time step: 19, total reward: -2.517706
episode: 82, epsilon: 0.9926, max time step: 50, total reward: 0.833241
episode: 83, epsilon: 0.9925, max time step: 50, total reward: 0.833241
episode: 84, epsilon: 0.9924, max time step: 50, total reward: 0.833241
episode: 85, epsilon: 0.9923, max time step: 50, total reward: 0.833241
episode: 86, epsilon: 0.9923, max time step: 50, total reward: 0.833241
episode: 87, epsilon: 0.9922, max time step: 50, total reward: 0.833241
episode: 88, epsilon: 0.9921, max time step: 50, total reward: 0.833241
episode: 89, epsilon: 0.9920, max time step: 50, total reward: 0.833241
episode: 90, epsilon: 0.9919, max time step: 50, total reward: 0.833241
episode: 91, epsilon: 0.9918, max time step: 50, total reward: 0.833241
episode: 92, epsilon: 0.9917, max time step: 50, total reward: 0.833241
episode: 93, epsilon: 0.9916, max time step: 50, total reward: 0.833241
episode: 94, epsilon: 0.9915, max time step: 53, total reward: 1.105503
episode: 95, epsilon: 0.9914, max time step: 50, total reward: 0.833241
episode: 96, epsilon: 0.9914, max time step: 50, total reward: 0.833241
episode: 97, epsilon: 0.9913, max time step: 50, total reward: 0.833241
episode: 98, epsilon: 0.9912, max time step: 57, total reward: 1.455982
episode: 99, epsilon: 0.9911, max time step: 50, total reward: 0.833241
episode: 100, epsilon: 0.9910, max time step: 50, total reward: 0.833241
testing: episode: 100, average time: 48.0
episode: 101, epsilon: 0.9909, max time step: 50, total reward: 0.833241
episode: 102, epsilon: 0.9908, max time step: 50, total reward: 0.833241
episode: 103, epsilon: 0.9907, max time step: 50, total reward: 0.833241
episode: 104, epsilon: 0.9906, max time step: 50, total reward: 0.833241
episode: 105, epsilon: 0.9905, max time step: 50, total reward: 0.833241
episode: 106, epsilon: 0.9905, max time step: 51, total reward: 0.924909
episode: 107, epsilon: 0.9904, max time step: 50, total reward: 0.833241
episode: 108, epsilon: 0.9903, max time step: 50, total reward: 0.833241
episode: 109, epsilon: 0.9902, max time step: 50, total reward: 0.833241
episode: 110, epsilon: 0.9901, max time step: 58, total reward: 1.541422
episode: 111, epsilon: 0.9900, max time step: 50, total reward: 0.833241
episode: 112, epsilon: 0.9899, max time step: 50, total reward: 0.833241
episode: 113, epsilon: 0.9898, max time step: 50, total reward: 0.833241
episode: 114, epsilon: 0.9897, max time step: 60, total reward: 1.709748
episode: 115, epsilon: 0.9896, max time step: 50, total reward: 0.833241
episode: 116, epsilon: 0.9896, max time step: 50, total reward: 0.833241
episode: 117, epsilon: 0.9895, max time step: 50, total reward: 0.833241
episode: 118, epsilon: 0.9894, max time step: 50, total reward: 0.833241
episode: 119, epsilon: 0.9893, max time step: 50, total reward: 0.833241
episode: 120, epsilon: 0.9892, max time step: 50, total reward: 0.833241
episode: 121, epsilon: 0.9891, max time step: 50, total reward: 0.833241
episode: 122, epsilon: 0.9890, max time step: 50, total reward: 0.833241
episode: 123, epsilon: 0.9889, max time step: 50, total reward: 0.833241
episode: 124, epsilon: 0.9888, max time step: 50, total reward: 0.833241
episode: 125, epsilon: 0.9887, max time step: 86, total reward: 4.108589
episode: 126, epsilon: 0.9887, max time step: 50, total reward: 0.833241
episode: 127, epsilon: 0.9886, max time step: 50, total reward: 0.833241
episode: 128, epsilon: 0.9885, max time step: 50, total reward: 0.833241
episode: 129, epsilon: 0.9884, max time step: 54, total reward: 1.194448
episode: 130, epsilon: 0.9883, max time step: 50, total reward: 0.833241
episode: 131, epsilon: 0.9882, max time step: 50, total reward: 0.833241
episode: 132, epsilon: 0.9881, max time step: 50, total reward: 0.833241
episode: 133, epsilon: 0.9880, max time step: 50, total reward: 0.833241
episode: 134, epsilon: 0.9879, max time step: 61, total reward: 1.792650
episode: 135, epsilon: 0.9878, max time step: 50, total reward: 0.833241
episode: 136, epsilon: 0.9878, max time step: 60, total reward: 1.709748
episode: 137, epsilon: 0.9877, max time step: 50, total reward: 0.833241
episode: 138, epsilon: 0.9876, max time step: 50, total reward: 0.833241
episode: 139, epsilon: 0.9875, max time step: 50, total reward: 0.833241
episode: 140, epsilon: 0.9874, max time step: 50, total reward: 0.833241
episode: 141, epsilon: 0.9873, max time step: 50, total reward: 0.833241
episode: 142, epsilon: 0.9872, max time step: 50, total reward: 0.833241
episode: 143, epsilon: 0.9871, max time step: 50, total reward: 0.833241
episode: 144, epsilon: 0.9870, max time step: 50, total reward: 0.833241
episode: 145, epsilon: 0.9869, max time step: 50, total reward: 0.833241
episode: 146, epsilon: 0.9869, max time step: 50, total reward: 0.833241
episode: 147, epsilon: 0.9868, max time step: 51, total reward: 0.924909
episode: 148, epsilon: 0.9867, max time step: 51, total reward: 0.924909
episode: 149, epsilon: 0.9866, max time step: 60, total reward: 1.709748
episode: 150, epsilon: 0.9865, max time step: 50, total reward: 0.833241
episode: 151, epsilon: 0.9864, max time step: 50, total reward: 0.833241
episode: 152, epsilon: 0.9863, max time step: 50, total reward: 0.833241
episode: 153, epsilon: 0.9862, max time step: 19, total reward: -2.517706
episode: 154, epsilon: 0.9861, max time step: 50, total reward: 0.833241
episode: 155, epsilon: 0.9860, max time step: 50, total reward: 0.833241
episode: 156, epsilon: 0.9860, max time step: 52, total reward: 1.015660
episode: 157, epsilon: 0.9859, max time step: 50, total reward: 0.833241
episode: 158, epsilon: 0.9858, max time step: 50, total reward: 0.833241
episode: 159, epsilon: 0.9857, max time step: 50, total reward: 0.833241
episode: 160, epsilon: 0.9856, max time step: 50, total reward: 0.833241
episode: 161, epsilon: 0.9855, max time step: 50, total reward: 0.833241
episode: 162, epsilon: 0.9854, max time step: 50, total reward: 0.833241
episode: 163, epsilon: 0.9853, max time step: 50, total reward: 0.833241
episode: 164, epsilon: 0.9852, max time step: 50, total reward: 0.833241
episode: 165, epsilon: 0.9851, max time step: 50, total reward: 0.833241
episode: 166, epsilon: 0.9851, max time step: 50, total reward: 0.833241
episode: 167, epsilon: 0.9850, max time step: 50, total reward: 0.833241
episode: 168, epsilon: 0.9849, max time step: 50, total reward: 0.833241
episode: 169, epsilon: 0.9848, max time step: 50, total reward: 0.833241
episode: 170, epsilon: 0.9847, max time step: 50, total reward: 0.833241
episode: 171, epsilon: 0.9846, max time step: 50, total reward: 0.833241
episode: 172, epsilon: 0.9845, max time step: 50, total reward: 0.833241
episode: 173, epsilon: 0.9844, max time step: 50, total reward: 0.833241
episode: 174, epsilon: 0.9843, max time step: 50, total reward: 0.833241
episode: 175, epsilon: 0.9842, max time step: 51, total reward: 0.924909
episode: 176, epsilon: 0.9842, max time step: 50, total reward: 0.833241
episode: 177, epsilon: 0.9841, max time step: 50, total reward: 0.833241
episode: 178, epsilon: 0.9840, max time step: 53, total reward: 1.105503
episode: 179, epsilon: 0.9839, max time step: 51, total reward: 0.924909
episode: 180, epsilon: 0.9838, max time step: 55, total reward: 1.282504
episode: 181, epsilon: 0.9837, max time step: 50, total reward: 0.833241
episode: 182, epsilon: 0.9836, max time step: 50, total reward: 0.833241
episode: 183, epsilon: 0.9835, max time step: 50, total reward: 0.833241
episode: 184, epsilon: 0.9834, max time step: 50, total reward: 0.833241
episode: 185, epsilon: 0.9833, max time step: 50, total reward: 0.833241
episode: 186, epsilon: 0.9833, max time step: 50, total reward: 0.833241
episode: 187, epsilon: 0.9832, max time step: 50, total reward: 0.833241
episode: 188, epsilon: 0.9831, max time step: 50, total reward: 0.833241
episode: 189, epsilon: 0.9830, max time step: 50, total reward: 0.833241
episode: 190, epsilon: 0.9829, max time step: 51, total reward: 0.924909
episode: 191, epsilon: 0.9828, max time step: 50, total reward: 0.833241
episode: 192, epsilon: 0.9827, max time step: 19, total reward: -2.517706
episode: 193, epsilon: 0.9826, max time step: 50, total reward: 0.833241
episode: 194, epsilon: 0.9825, max time step: 50, total reward: 0.833241
episode: 195, epsilon: 0.9824, max time step: 50, total reward: 0.833241
episode: 196, epsilon: 0.9824, max time step: 50, total reward: 0.833241
episode: 197, epsilon: 0.9823, max time step: 50, total reward: 0.833241
episode: 198, epsilon: 0.9822, max time step: 50, total reward: 0.833241
episode: 199, epsilon: 0.9821, max time step: 50, total reward: 0.833241
episode: 200, epsilon: 0.9820, max time step: 50, total reward: 0.833241
testing: episode: 200, average time: 49.2
save checkpoint, episode=200, ave time step=49.20
episode: 201, epsilon: 0.9819, max time step: 55, total reward: 1.282504
episode: 202, epsilon: 0.9818, max time step: 60, total reward: 1.709748
episode: 203, epsilon: 0.9817, max time step: 50, total reward: 0.833241
episode: 204, epsilon: 0.9816, max time step: 70, total reward: 2.994886
episode: 205, epsilon: 0.9815, max time step: 50, total reward: 0.833241
episode: 206, epsilon: 0.9815, max time step: 50, total reward: 0.833241
episode: 207, epsilon: 0.9814, max time step: 57, total reward: 1.455982
episode: 208, epsilon: 0.9813, max time step: 50, total reward: 0.833241
episode: 209, epsilon: 0.9812, max time step: 50, total reward: 0.833241
episode: 210, epsilon: 0.9811, max time step: 50, total reward: 0.833241
episode: 211, epsilon: 0.9810, max time step: 50, total reward: 0.833241
episode: 212, epsilon: 0.9809, max time step: 54, total reward: 1.194448
episode: 213, epsilon: 0.9808, max time step: 50, total reward: 0.833241
episode: 214, epsilon: 0.9807, max time step: 50, total reward: 0.833241
episode: 215, epsilon: 0.9806, max time step: 50, total reward: 0.833241
episode: 216, epsilon: 0.9806, max time step: 50, total reward: 0.833241
episode: 217, epsilon: 0.9805, max time step: 50, total reward: 0.833241
episode: 218, epsilon: 0.9804, max time step: 50, total reward: 0.833241
episode: 219, epsilon: 0.9803, max time step: 50, total reward: 0.833241
episode: 220, epsilon: 0.9802, max time step: 61, total reward: 1.792650
episode: 221, epsilon: 0.9801, max time step: 50, total reward: 0.833241
episode: 222, epsilon: 0.9800, max time step: 50, total reward: 0.833241
episode: 223, epsilon: 0.9799, max time step: 50, total reward: 0.833241
episode: 224, epsilon: 0.9798, max time step: 68, total reward: 2.842655
episode: 225, epsilon: 0.9797, max time step: 50, total reward: 0.833241
episode: 226, epsilon: 0.9797, max time step: 50, total reward: 0.833241
episode: 227, epsilon: 0.9796, max time step: 50, total reward: 0.833241
episode: 228, epsilon: 0.9795, max time step: 50, total reward: 0.833241
episode: 229, epsilon: 0.9794, max time step: 86, total reward: 4.108589
episode: 230, epsilon: 0.9793, max time step: 50, total reward: 0.833241
episode: 231, epsilon: 0.9792, max time step: 51, total reward: 0.924909
episode: 232, epsilon: 0.9791, max time step: 50, total reward: 0.833241
episode: 233, epsilon: 0.9790, max time step: 51, total reward: 0.924909
episode: 234, epsilon: 0.9789, max time step: 50, total reward: 0.833241
episode: 235, epsilon: 0.9788, max time step: 50, total reward: 0.833241
episode: 236, epsilon: 0.9788, max time step: 50, total reward: 0.833241
episode: 237, epsilon: 0.9787, max time step: 50, total reward: 0.833241
episode: 238, epsilon: 0.9786, max time step: 51, total reward: 0.924909
episode: 239, epsilon: 0.9785, max time step: 59, total reward: 1.626008
episode: 240, epsilon: 0.9784, max time step: 55, total reward: 1.282504
episode: 241, epsilon: 0.9783, max time step: 50, total reward: 0.833241
episode: 242, epsilon: 0.9782, max time step: 52, total reward: 1.015660
episode: 243, epsilon: 0.9781, max time step: 39, total reward: -0.238319
episode: 244, epsilon: 0.9780, max time step: 50, total reward: 0.833241
episode: 245, epsilon: 0.9779, max time step: 53, total reward: 1.105503
episode: 246, epsilon: 0.9779, max time step: 50, total reward: 0.833241
episode: 247, epsilon: 0.9778, max time step: 86, total reward: 4.108589
episode: 248, epsilon: 0.9777, max time step: 50, total reward: 0.833241
episode: 249, epsilon: 0.9776, max time step: 86, total reward: 4.108589
episode: 250, epsilon: 0.9775, max time step: 50, total reward: 0.833241
episode: 251, epsilon: 0.9774, max time step: 50, total reward: 0.833241
episode: 252, epsilon: 0.9773, max time step: 54, total reward: 1.194448
episode: 253, epsilon: 0.9772, max time step: 50, total reward: 0.833241
episode: 254, epsilon: 0.9771, max time step: 50, total reward: 0.833241
episode: 255, epsilon: 0.9770, max time step: 50, total reward: 0.833241
episode: 256, epsilon: 0.9770, max time step: 50, total reward: 0.833241
episode: 257, epsilon: 0.9769, max time step: 50, total reward: 0.833241
episode: 258, epsilon: 0.9768, max time step: 50, total reward: 0.833241
episode: 259, epsilon: 0.9767, max time step: 55, total reward: 1.282504
episode: 260, epsilon: 0.9766, max time step: 50, total reward: 0.833241
episode: 261, epsilon: 0.9765, max time step: 51, total reward: 0.924909
episode: 262, epsilon: 0.9764, max time step: 50, total reward: 0.833241
episode: 263, epsilon: 0.9763, max time step: 50, total reward: 0.833241
episode: 264, epsilon: 0.9762, max time step: 50, total reward: 0.833241
episode: 265, epsilon: 0.9761, max time step: 86, total reward: 4.108589
episode: 266, epsilon: 0.9761, max time step: 50, total reward: 0.833241
episode: 267, epsilon: 0.9760, max time step: 50, total reward: 0.833241
episode: 268, epsilon: 0.9759, max time step: 61, total reward: 1.792650
episode: 269, epsilon: 0.9758, max time step: 50, total reward: 0.833241
episode: 270, epsilon: 0.9757, max time step: 50, total reward: 0.833241
episode: 271, epsilon: 0.9756, max time step: 50, total reward: 0.833241
episode: 272, epsilon: 0.9755, max time step: 52, total reward: 1.015660
episode: 273, epsilon: 0.9754, max time step: 50, total reward: 0.833241
episode: 274, epsilon: 0.9753, max time step: 50, total reward: 0.833241
episode: 275, epsilon: 0.9752, max time step: 50, total reward: 0.833241
episode: 276, epsilon: 0.9752, max time step: 53, total reward: 1.105503
episode: 277, epsilon: 0.9751, max time step: 50, total reward: 0.833241
episode: 278, epsilon: 0.9750, max time step: 50, total reward: 0.833241
episode: 279, epsilon: 0.9749, max time step: 50, total reward: 0.833241
episode: 280, epsilon: 0.9748, max time step: 50, total reward: 0.833241
episode: 281, epsilon: 0.9747, max time step: 51, total reward: 0.924909
episode: 282, epsilon: 0.9746, max time step: 50, total reward: 0.833241
episode: 283, epsilon: 0.9745, max time step: 50, total reward: 0.833241
episode: 284, epsilon: 0.9744, max time step: 50, total reward: 0.833241
episode: 285, epsilon: 0.9743, max time step: 50, total reward: 0.833241
episode: 286, epsilon: 0.9743, max time step: 50, total reward: 0.833241
episode: 287, epsilon: 0.9742, max time step: 50, total reward: 0.833241
episode: 288, epsilon: 0.9741, max time step: 86, total reward: 4.108589
episode: 289, epsilon: 0.9740, max time step: 50, total reward: 0.833241
episode: 290, epsilon: 0.9739, max time step: 50, total reward: 0.833241
episode: 291, epsilon: 0.9738, max time step: 50, total reward: 0.833241
episode: 292, epsilon: 0.9737, max time step: 50, total reward: 0.833241
episode: 293, epsilon: 0.9736, max time step: 50, total reward: 0.833241
episode: 294, epsilon: 0.9735, max time step: 65, total reward: 2.608494
episode: 295, epsilon: 0.9734, max time step: 50, total reward: 0.833241
episode: 296, epsilon: 0.9734, max time step: 50, total reward: 0.833241
episode: 297, epsilon: 0.9733, max time step: 50, total reward: 0.833241
episode: 298, epsilon: 0.9732, max time step: 50, total reward: 0.833241
episode: 299, epsilon: 0.9731, max time step: 51, total reward: 0.924909
episode: 300, epsilon: 0.9730, max time step: 50, total reward: 0.833241
testing: episode: 300, average time: 59.6
save checkpoint, episode=300, ave time step=59.60
episode: 301, epsilon: 0.9729, max time step: 52, total reward: 1.015660
episode: 302, epsilon: 0.9728, max time step: 50, total reward: 0.833241
episode: 303, epsilon: 0.9727, max time step: 50, total reward: 0.833241
episode: 304, epsilon: 0.9726, max time step: 50, total reward: 0.833241
episode: 305, epsilon: 0.9725, max time step: 50, total reward: 0.833241
episode: 306, epsilon: 0.9725, max time step: 50, total reward: 0.833241
episode: 307, epsilon: 0.9724, max time step: 50, total reward: 0.833241
episode: 308, epsilon: 0.9723, max time step: 67, total reward: 2.765384
episode: 309, epsilon: 0.9722, max time step: 50, total reward: 0.833241
episode: 310, epsilon: 0.9721, max time step: 50, total reward: 0.833241
episode: 311, epsilon: 0.9720, max time step: 50, total reward: 0.833241
episode: 312, epsilon: 0.9719, max time step: 50, total reward: 0.833241
episode: 313, epsilon: 0.9718, max time step: 50, total reward: 0.833241
episode: 314, epsilon: 0.9717, max time step: 50, total reward: 0.833241
episode: 315, epsilon: 0.9716, max time step: 63, total reward: 2.448418
episode: 316, epsilon: 0.9716, max time step: 50, total reward: 0.833241
episode: 317, epsilon: 0.9715, max time step: 50, total reward: 0.833241
episode: 318, epsilon: 0.9714, max time step: 50, total reward: 0.833241
episode: 319, epsilon: 0.9713, max time step: 51, total reward: 0.924909
episode: 320, epsilon: 0.9712, max time step: 37, total reward: -0.446198
episode: 321, epsilon: 0.9711, max time step: 50, total reward: 0.833241
episode: 322, epsilon: 0.9710, max time step: 50, total reward: 0.833241
episode: 323, epsilon: 0.9709, max time step: 50, total reward: 0.833241
episode: 324, epsilon: 0.9708, max time step: 60, total reward: 1.709748
episode: 325, epsilon: 0.9707, max time step: 50, total reward: 0.833241
episode: 326, epsilon: 0.9707, max time step: 50, total reward: 0.833241
episode: 327, epsilon: 0.9706, max time step: 50, total reward: 0.833241
episode: 328, epsilon: 0.9705, max time step: 50, total reward: 0.833241
episode: 329, epsilon: 0.9704, max time step: 51, total reward: 0.924909
episode: 330, epsilon: 0.9703, max time step: 86, total reward: 4.108589
episode: 331, epsilon: 0.9702, max time step: 50, total reward: 0.833241
episode: 332, epsilon: 0.9701, max time step: 50, total reward: 0.833241
episode: 333, epsilon: 0.9700, max time step: 50, total reward: 0.833241
episode: 334, epsilon: 0.9699, max time step: 50, total reward: 0.833241
episode: 335, epsilon: 0.9698, max time step: 50, total reward: 0.833241
episode: 336, epsilon: 0.9698, max time step: 50, total reward: 0.833241
episode: 337, epsilon: 0.9697, max time step: 53, total reward: 1.105503
episode: 338, epsilon: 0.9696, max time step: 50, total reward: 0.833241
episode: 339, epsilon: 0.9695, max time step: 50, total reward: 0.833241
episode: 340, epsilon: 0.9694, max time step: 98, total reward: 5.176834
episode: 341, epsilon: 0.9693, max time step: 50, total reward: 0.833241
episode: 342, epsilon: 0.9692, max time step: 50, total reward: 0.833241
episode: 343, epsilon: 0.9691, max time step: 50, total reward: 0.833241
episode: 344, epsilon: 0.9690, max time step: 50, total reward: 0.833241
episode: 345, epsilon: 0.9689, max time step: 50, total reward: 0.833241
episode: 346, epsilon: 0.9689, max time step: 50, total reward: 0.833241
episode: 347, epsilon: 0.9688, max time step: 50, total reward: 0.833241
episode: 348, epsilon: 0.9687, max time step: 50, total reward: 0.833241
episode: 349, epsilon: 0.9686, max time step: 63, total reward: 2.448418
episode: 350, epsilon: 0.9685, max time step: 57, total reward: 1.455982
episode: 351, epsilon: 0.9684, max time step: 50, total reward: 0.833241
episode: 352, epsilon: 0.9683, max time step: 50, total reward: 0.833241
episode: 353, epsilon: 0.9682, max time step: 50, total reward: 0.833241
episode: 354, epsilon: 0.9681, max time step: 57, total reward: 1.455982
episode: 355, epsilon: 0.9680, max time step: 50, total reward: 0.833241
episode: 356, epsilon: 0.9680, max time step: 50, total reward: 0.833241
episode: 357, epsilon: 0.9679, max time step: 50, total reward: 0.833241
episode: 358, epsilon: 0.9678, max time step: 54, total reward: 1.194448
episode: 359, epsilon: 0.9677, max time step: 53, total reward: 1.105503
episode: 360, epsilon: 0.9676, max time step: 50, total reward: 0.833241
episode: 361, epsilon: 0.9675, max time step: 52, total reward: 1.015660
episode: 362, epsilon: 0.9674, max time step: 50, total reward: 0.833241
episode: 363, epsilon: 0.9673, max time step: 50, total reward: 0.833241
